"status","AuctionType:","Case#:","FinalJudgmentAmount:","ParcelID:","ParcelLink","PropertyAddress:","address2","PlaintiffMaxBid:","AssessedValue:"
"Canceled per Order","FORECLOSURE"," 2019-013302-CA-01","$123,085.11","34-1136-011-0850","http://www.miamidade.gov/propertysearch/#/?folio=3411360110850","115 NE 205 TER","MIAMI GARDENS, FL- 33179","Hidden","$141,318.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-013185-CA-01","$106,106.78","30-2205-048-2260","http://www.miamidade.gov/propertysearch/#/?folio=3022050482260","1750 NE 191 ST 808-2","MIAMI, FL- 33179","Hidden","$66,675.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-016921-CA-01","$391,347.55","30-5905-003-0060","http://www.miamidade.gov/propertysearch/#/?folio=3059050030060","9125 SW 166 AVE","MIAMI, FL- 33196","$320,000.00","$225,332.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-018575-CA-01","$409,175.52","01-3132-013-0100","http://www.miamidade.gov/propertysearch/#/?folio=0131320130100","4015 NW 9 ST","MIAMI, FL- 33126","Hidden","$107,729.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-018688-CA-01","$261,706.24","07-2217-012-0650","http://www.miamidade.gov/propertysearch/#/?folio=0722170120650","15700 NE 15 CT","NORTH MIAMI BEACH, FL- 33162","Hidden","$126,511.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-019412-CA-01","$208,424.72","30-3103-014-2630","http://www.miamidade.gov/propertysearch/#/?folio=3031030142630","2433 NW 97 ST","MIAMI, FL- 33147","Hidden","$70,904.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-020133-CA-01","$180,373.82","30-4933-115-2960","http://www.miamidade.gov/propertysearch/#/?folio=3049331152960","15600 SW 80 ST L-204","MIAMI, FL- 33193","Hidden","$115,114.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-020479-CA-01","$611,395.98","02-3211-068-0470","http://www.miamidade.gov/propertysearch/#/?folio=0232110680470","6770 INDIAN CREEK DR 9-D","MIAMI BEACH, FL- 33141","Hidden","$265,000.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-021260-CA-01","$352,042.61","34-2110-001-1172","http://www.miamidade.gov/propertysearch/#/?folio=3421100011172","1725 NW 179 ST","MIAMI GARDENS, FL- 33056","Hidden","$135,652.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-023470-CA-01","$266,758.08","30-2011-080-3650","http://www.miamidade.gov/propertysearch/#/?folio=3020110803650","7210 NW 179 ST 106","HIALEAH, FL- 33015","Hidden","$85,422.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-025201-CA-01","$204,521.13","Property Appraiser","http://www.miamidade.gov/propertysearch/#/?folio=","10700 NW 7 ST 3B","MIAMI, FL- 33172","$190,000.00",
"Canceled per Order","FORECLOSURE"," 2018-026417-CA-01","$112,604.94","34-1133-007-1610","http://www.miamidade.gov/propertysearch/#/?folio=3411330071610","3271 NW 207 ST","MIAMI , FL- 33056","Hidden","$58,284.00"
